Unnamed: 0,artist_song,song_x,artist_x,genre,lyric,like,year_x,artist_y,song_y,key,camelot,bpm,duration,popularity,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,year_y,target
0,모모랜드 Ready or Not,Ready Or Not,모모랜드 (MOMOLAND),댄스,Mirror mirror on the wall M O M O 무대로 WE Yes A list 이리로 와서 Get down with this Say Hell no Limit no 둘 중에 하나 모 아니면 도 You spin I’m in 이제부터 Let the party begin Tick Tock 시간 없어 움직여 Yo ur body DJ drop it like it’s hot 뒤쳐지지 않아 벌써 지치면 안 돼 Don’t stop do it from the top Gonna get you get you With that POW POW POW 난 왜 자꾸자꾸 신이 나아아아아아 오늘이 날이야 Final Round 오늘은 한 번뿐 Ready or not ready or not Show me 보여줘 네 가치 춤을 춰 다 같이 Ready or not here we go 눈빛 보내면 네 몸짓 보여줘 네 손짓 Ready or not here we go Ready or not ready or not With that pow pow pow Ready or not ready or not With that pow pow pow 후회 후회하지 마 마 Don't wait 그 건 부질없어 Nah Nah 눈치 보지 않고 Make me feel good 적어도 지금은 I make the rules Gonna get you get you With that POW POW POW 난 왜 자꾸자꾸 신이 나아아아아아 오늘이 날이야 Final Round 오늘은 한 번뿐 Ready or not ready or not Show me 보여줘 네 가치 춤을 춰 다 같이 Ready or not here we go 눈빛 보내면 네 몸짓 보여줘 네 손짓 Ready or not here we go Ready or not ready or not With that pow pow pow Ready or not ready or not With that pow pow pow 끝날 때까지 끝나지 않아 All right 다시 시작해 끝나지 않아 끝나지 않아 Show me 보여줘 네 가치 춤을 춰 다 같이 Ready or not here we go 눈빛 보내면 네 몸짓 보여줘 네 손짓 Ready or not here we go Ready or not ready or not With that pow pow pow Ready or not ready or not With that pow pow pow,"12,905",2020,MOMOLAND,Ready Or Not,B Major,1B,125,3:20,42,90,73.0,56,1.0,0.0,28.0,10.0,-2 dB,2020.0,0
1,"MC몽,김재환 봄 같던 그녀가 춥대",봄 같던 그녀가 춥대 (Feat. 페노메코),MC몽,랩/힙합,차가운 겨울을 닮은 날 사랑한 그녀는 심장이 시릴 만큼 춥대 춥대 춥대 봄이 왔는데 여전히 춥대 내 품에 안겨있어도 춥대 많은 걸 바라는 게 아닌데 불안함이 가득한 내 눈빛이 춥대 내 사랑 너는 외로운 술래 가슴 찢어지네 그녀가 울 때 서툰 감정 표현과 함께 투박하게 던진 내 말투가 춥대 내 한숨은 입김이 되어 그녀의 마음속을 시리게 하고 니 눈물은 눈꽃이 되어 따스한 그 미소도 얼려버렸구나 꽃잎 같던 사람아 언제 그렇게 시들었나 뜨거웠던 심장아 언제 이렇게 재가 됐나 춥대 같이 있어도 봄 같던 그녀는 외롭대 춥대 어쩌면 내가 주려는 게 행복이 아니었나 시간은 자꾸 흘러가 이 계절을 느낄 만큼 무심하게 걷던 거리가 다시 향기로워질 만큼 할 말도 없어 멋쩍게 걸어 너를 닮은 벚꽃이 내게 떨어져 나도 정말 뻔뻔하기 그지없어 너를 닮은 봄비가 나를 적셔 부디 그치지 마라 또 마르지 마라 한숨이 되려 겨울바람 되어 봄 같은 너와 어울리지 않게 되었네 시간아 지나가 내 기억이 흐려지게 시간이 지나서 니 기억이 흐려지게 춥대 같이 있어도 봄 같던 그녀는 외롭대 춥대 어쩌면 내가 주려는 게 행복이 아니었나 내 세상의 유일한 꽃 그대여 머물러요 얼어붙은 나를 녹여줘요 니가 없는 내일을 아직 감당하기엔 숨도 못 쉴 만큼 버거운데 춥대 같이 있어도 혼자인 것처럼 외롭대 춥대 어쩌면 내가 주려는 게 행복이 아니었나 차가운 겨울을 닮은 날 사랑한 그녀는 심장이 시릴 만큼 춥대 춥대 춥대,"52,183",2020,"MC MONG, KIM JAE HWAN",COLD,D Major,10B,100,3:56,28,82,70.0,26,29.0,0.0,21.0,4.0,-2 dB,2020.0,0
2,펜타곤 Daisy,Daisy (Chinese Ver.),펜타곤,"월드뮤직, 중국음악","像谎言的夜, 那痛苦的记忆 再也不想回到那个时~光~  我的爱Burning 所有都Burning 回忆全都Burning  Oh 真的真的 永远永远 希望请你离我而去 拜托 (不要离开我) Oh 真的真的 永远永远 希望请你留恋我的身旁  无法对你慈悲No mercy 我的心Privacy 不论你在做什么, 已经与我无关 希望你不幸下去 (I hope)  你是我梦中的一朵雏菊 我已被你判刑出局 没有你陪伴的我, 我快要疯掉  雪白而美丽的雏菊, 花丛中我又是Crazy 像一个傻瓜爱你, 疯狂地爱你 这样爱你的我, 到底算什么？  谎言, 是谎言, 都是谎言 谎言, 是谎言, 都是谎言 谎言, 是谎言, 都是谎言 谎言已让我受伤  很抱歉, 已经很晚了Eh-oh 还有一些话没说, 我来了 现在是有点不清醒, 迷迷糊糊的 为什么我的心情, 总是犹犹豫豫的  冷漠无比 你的眼神, 已褪色的红色 不论你在说什么, 已经与我无关 希望你不会幸福  你是我梦中的一朵雏菊 我已被你判刑出局 没有你陪伴的我, 我快要疯掉  雪白而美丽的雏菊, 花丛中我又是Crazy 像一个傻瓜爱你, 疯狂地爱你 这样爱你的我, 到底算什么？  谎言, 是谎言, 都是谎言 谎言, 是谎言, 都是谎言 谎言, 是谎言, 都是谎言 谎言已让我受伤  你的虚情假意, 让我流泪 伤心哭泣的蓝鸟儿, 远远飞走啊~ 你的虚情假意, 让我流泪 就算再痛也要继续活着  你是耀眼的太阳 你一定要幸福下去  雪白而美丽的雏菊, 你不要Don’t hate me 像一个傻瓜爱你, 疯狂地爱你 爱你一场, 我真心幸福  不要走, 你不要走, 不要离开 不要走, 你不要走, 不要离开 你是我永远的雏菊","18,871",2020,PENTAGON,Daisy,F Major,7B,85,3:09,55,87,56.0,48,4.0,0.0,14.0,5.0,-2 dB,2020.0,0
3,온앤오프 스쿰빗스위밍,스쿰빗스위밍 (Sukhumvit Swimming),온앤오프 (ONF),댄스,남쪽으로 날아 해를 머금은 도시를 찾아 달이 뜨면 더욱 뜨거운 그곳에서 너를 만날래 건조한 일상과 내 마음이 이러다 갈라져요 help me help me 흠뻑 젖어 헝클어질래 더 크게 소리 질러 shout shout 너와 날 이어줄 통로 길게 뻗은 길로 뛰어 여기 내가 있잖아 swimming swimming swimming just arrived arrived arrived I like it sukhumvit swimming I feel alive la la alive I like it sukhumvit swimming 둥실둥실 떠서 흐르는 오후의 이 기분 눈 감으면 스르르 스르르 스르르 빠져들어 네가 설계 해놓은 스페셜한 꿈으로 남쪽으로 날아 별빛을 훔친 너를 찾아 밤이 되면 더욱 눈부시게 빛나는 너를 만날래 끊어지지 않아 이 밤의 노래는 이게 우리의 청춘 youth youth 너와 날 이어줄 통로 길게 뻗은 길로 뛰어 방콕 하면 여기야 swimming swimming swimming just arrived arrived arrived I like it sukhumvit swimming I feel alive la la alive I like it sukhumvit swimming I dive in 스쿰빗 and a swimming 나비처럼 포즈 들떠 I feel great 이곳은 우릴 밝혀줘 squeeze 설레는 맘 갖고 놀아보자고 like oh yeah this is our best spot just arrived arrived arrived I like it sukhumvit swimming I feel alive la la alive I like it sukhumvit swimming,"21,386",2020,ONF,Sukhumvit Swimming,C Major,8B,150,3:04,38,79,60.0,92,10.0,0.0,11.0,5.0,-3 dB,2020.0,0
4,정세운 Say yes,Say yes,정세운,록/메탈,다들 왜이래 내게 앞을 다투어 무얼 해야 한다고 난 좀 이래 그냥 다 그렇다는 말은 와 닿지 않아 틀린 건 없어 네가 말하는 내 모습 재미도 없고 너무 진지해 근데 난 이런 내가 맘에 들거든 Say yes 좀 더 끌어당겨 내 맘이 흔들리게 Say yes 아니라면 네가 내게로 흔들리면 돼 원래 그래 네가 말이 막히면 내게 툭 던지는 말 그게 좀 그래 왜인지는 모른 채 그냥 가려 하는 게 나름 대로 행여 틀린 대도 맘이 가는 대로 I don’t mind 때론 홀로 외로운 그러나 자연스러운 모습으로 난 여기 있어 Say yes 좀 더 끌어당겨 내 맘이 흔들리게 Say yes 아니라면 네가 내게로 흔들리면 돼 Say yes 흔들리면 Say yes 흔들리면 돼 누가 내게 또 속삭인다면 그래 뭐 그래 라고 난 말을 해 그런 나의 말투가 너무 나인 걸 고갤 끄덕이며 웃는 얼굴도 Say yes 좀 더 끌어당겨 내 맘이 흔들리게 Say yes 아니라면 네가 내게로 흔들리면 돼 Say yes 흔들리면 Say yes 흔들리면 돼,"27,498",2020,JEONG SEWOON,Say yes,F Minor,4A,111,3:00,20,89,77.0,55,8.0,0.0,17.0,6.0,-1 dB,2020.0,0
5,더보이즈 REVEAL,REVEAL,더보이즈 (THE BOYZ),댄스,난 네가 보인다 다가가려다 또 하나의 태양에 발을 멈춘다 노을빛에 번져 나의 맘을 가려 Babe I’m Down I’m Down for your love 언젠가는 부디 네 앞에 날 Show ya 네 미소를 가진 그 사람이 부러워 행복한 널 보니 이미 Game's over lady I’m Down I’m Down for your love 너의 그 사랑이 쳐다보지 못할 만큼 더 찬란하도록 맘을 숨겨둔 Lonely night 이 숨 막히는 어둠 속에 나를 가둘 게 너를 위해 오랜 못 버티지만 매일 밤 Down for your love Down for your love oh Down Down Down Down for your love I’m Down for your love Down for your love oh Down Down Down Down for your love 네 세상 한 켠에 Stay 너의 밤에 뜨는 해 I’m Down for your love Down for your love My baby 달빛 아래 숨죽인 나 넌 눈부시게 아름다워 늘 질투심 속에 난 휩싸여 환히 비춘 하늘 아래 지옥 같은 맘은 하데스 온종일 네 곁을 맴돌다가 조금 더 깊어진 맘을 따라 지금 당장 네게로 가 너만의 세상을 뒤집을까 새로운 태양이 떠 You’re gonna love it 난 늘 목말라 Babe 짙어진 어둠이 너의 시야를 가려 두고 그를 못 보도록 나를 밝히고 싶지만 너의 꿈들이 이뤄지게 그걸 곁에서 바라보게 이 거릴 지킬 거야 매일 밤 Down for your love Down for your love oh Down Down Down Down for your love I’m Down for your love Down for your love oh Down Down Down Down for your love 네 세상 한 켠에 Stay 너의 밤에 뜨는 해 I’m Down for your love Down for your love My baby 눈 감은 널 비추는 나 새벽이 밝아 어렴풋이 점점 더 Crazy Don’t make me stop 끝이 보여와 네 주위를 쉴 새 없이 돌고 돌아 언젠가 한 번 네 앞에 설 순간 Time of Dogs and Wolves 잠시만 Down for your love Down for your love oh Down Down Down Down for your love I’m Down for your love Down for your love oh Down Down Down Down for your love 네 세상 중심에 Stay 이젠 내가 되려 해 I’m Down for your love Down for your love My baby 또 다른 날 깨우는 밤 매일 밤 Down for you 어둠 속에 나를 가릴 테니 넌 빛나 I’ll wait for you 네 맘을 비추려다 내 맘이 비치고 있겠지만 No more I’m Down for you 차츰 어둠이 드리울 테니 내게로 와 I’m there for you 모든 걸 드러낸 밤 이젠 내 모습을 똑바로 봐,"79,426",2020,THE BOYZ,REVEAL,A Minor,8A,95,3:22,54,95,62.0,57,8.0,0.0,13.0,11.0,-1 dB,2020.0,0
7,스트레이키즈 Back Door,Back Door,Stray Kids (스트레이 키즈),댄스,"Hey, you wanna come in?  다 치워 이제 들어가 저번 건 입가심 umm 이젠 본편으로 party 감당 안 됨 빠지지 yeah  에고 어기어차 참 뻐근한 거 다 풀고 맘대로 즐겨 누구라도 불 끄고 눈 밝혀라 밤새 억눌렀던 흥을 끌어모아 방생  손잡이를 돌려 내가 원하던 걸 다 볼래 이 문 앞에서 들리는 음악 소리 내 목소리가 터지도록 외쳐 멈칫할 시간 따윈 없어  Hey Come inside now Hey  관계자 외 출입금지 여긴 back door 관계자 외 출입금지 여긴 back door 관계자 외 출입금지 여긴 back door 관계자가 되고 싶다면  Ey 여기까지가 끝인가 보오 머리 쓸 시간 ready to go 고생했어 주인 잘못 만난 몸 호강 시켜 줄게 따라와라와라 back door  세콤 아니니까 괜찮네 지금 들려오는 이 소리는 팡파르 밤새 놀아보자 필요한 건 more caffeine 오려면 오든가 암호는 열려라 참깨  달라 보여 모든 게 완벽해지는 이 순간 두 눈앞에서 펼쳐지는 fantasy 내 목소리가 터지도록 외쳐 멈칫 할 시간 따윈 없어  Hey Come inside now Hey  관계자 외 출입금지 여긴 back door 관계자 외 출입금지 여긴 back door 관계자 외 출입금지 여긴 back door 관계자가 되고 싶다면 Knock knock  Lights out Yeah 시간이 지나갈수록 더 화려해지는 이 순간 Yeah we gon’ do it right now, do it right now baby  이제부터 정신 차려 이 세계를 눈에 담아 심장 울려 rum pum pum pum  Make ‘em say wow wow wow yeah 다들 불러와 와 와 ey 노래 불러라 라 라 hey 3 2 1  관계자 외 출입금지 여긴 back door 관계자 외 출입금지 여긴 back door 관계자 외 출입금지 여긴 back door 관계자가 되고 싶다면 Knock knock  종 때리고 미쳐 날뛰어 오늘도 we do our thang 종 때리고 미쳐 날뛰어 오늘 밤도 짖어 ey  종 때리고 미쳐 날뛰어 오늘도 we do our thang 종 때리고 미쳐 날뛰어  Hey, you wanna come in?","91,215",2020,Stray Kids,Back Door,G Major,9B,108,3:09,72,84,82.0,65,16.0,0.0,11.0,27.0,-4 dB,2020.0,0
8,원어스 쉽게 쓰여진 노래,쉽게 쓰여진 노래 (A Song Written Easily),원어스 (ONEUS),댄스,오늘도 너를 부른다 say lalala 우리가 함께 듣던 노래들 이별 가사 이별 노래 그 모든 것이 내 이야기 같아서 오늘도 다시 너를 부른다 걷다 보니까 저 멀리 두 손 가득해 너의 온기 까맣게 타다가 재가 돼버린 가슴이 아파온다 우리가 걷다가 들었던 슬픈 노래 듣고 싶지도 않아 어렵네 자꾸 네가 보고 싶다고 해 아직 바라고 바랐던 네가 오길 기도해 하고 싶은 말들이 너무 많아서 하나씩 적다 보니 가사가 되었어 헤어짐보다 더 아픈 그리움으로 널 생각하며 쉽게 쓰여진 노래 쉽게 쓰여진 노래 널 생각하며 쉽게 쓰여진 노래 이건 뭐랄까 우리가 사랑했던 순간들을 정리한 timeline 마치 한 scene 두 scene 영화 같아 결국에는 sad ending 어두운 밤 달빛마저 깊이 잠들면 널 다시 그릴까 아주 가끔씩 내 생각 떠오르면 이 노래를 들어줄래 떠나간 네 자리에는 먹구름만 errday 이 벼랑 끝에 홀로 너를 그려본다 all thing 눈물로 밤을 지새우는 중 아니 너란 가삿거리로 태우는 중 yahh 그러니까 이걸 들으면 내게 그냥 돌아와줘 아무 말도 안 할게 yahh 미치도록 보고 싶어 죽겠네 너를 위해 노래해 always 하고 싶은 말들이 너무 많아서 하나씩 적다 보니 가사가 되었어 헤어짐보다 더 아픈 그리움으로 널 생각하며 쉽게 쓰여진 노래 쉽게 쓰여진 노래 널 생각하며 쉽게 쓰여진 노래 혹시나 네게 들릴까 say lalala 오늘도 다시 너를 부른다 everyday everyday 전부 널 위해 all day all day 난 널 생각해 everyday everyday 전부 널 위해 쉽게 쓰여진 노래 쉽게 쓰여진 노래 혹시 어디서 이 노래를 듣고 있을까 널 생각하며 쉽게 쓰여진 노래,"14,473",2020,ONEUS,A Song Written Easily,C# Minor,12A,98,3:33,48,84,70.0,68,15.0,0.0,10.0,6.0,-2 dB,2020.0,0
9,밴디트 JUNGLE,JUNGLE,BVNDIT (밴디트),댄스,I am the queen in the JUNGLE I am the queen in the JUNGLE 여기 발 디딜 틈 없는 사람들 속 똑같은 모습은 싫어 kill it I don't like it Baby boom boom boom 날 따라 춤을 춰도 나보다 빛날 순 없어 멈출 수 없어 벌써 멀리 번져가는 fire 여길 채워가는 나의 숨소리 내 목소리 다 알고 있어 점점 높이 올라가 survive 감출 수 없는 기분 i'm the queen queen In the JUNGLE Call my name eh eh Oh nanana 느낌 있게 딱 맞는 angle 내겐 이미 끝난 game 인정해 it's me yeah 그래그래 이곳에 only queen In the JUNGLE 어디서도 보여 난 모두가 다 알잖아 이미 너무 다른 level We're gonna break it break I'm 보다시피 좀 hip Oops 존재 자체가 hit Take it easy 나랑 같이 Alright 어쩔 수 없어 먼저 여길 사로잡는 play 정신 차리고 봐 내가 움직인 이 분위기 다 알고 있어 점점 멀리 퍼지는 my way 감출 수 없는 기분 i'm the queen queen In the JUNGLE Call my name eh eh Oh nanana 느낌 있게 딱 맞는 angle 내겐 이미 끝난 game 인정해 it's me yeah 그래그래 이곳에 only queen In the JUNGLE 오직 나 하나면 ok 다른 건 다 필요 없어 baby 한 번 더 말해줄게 모두 보여줄게 이젠 너도 알고 있지 i’m the queen queen In the JUNGLE Oh nanana I am the queen in the JUNGLE Oh nanana I am the queen in the JUNGLE Ready for that Call my name eh eh na na na na 느낌 있게 딱 맞는 angle 내겐 이미 끝난 game 인정해 it's me yeah 그래그래 이곳에 only queen In the JUNGLE,"1,532",2020,BVNDIT,JUNGLE,A♭ Minor,1A,105,3:05,33,93,61.0,76,2.0,0.0,53.0,8.0,-1 dB,2020.0,0
10,로켓펀치 JUICY,JUICY,로켓펀치(Rocket Punch),댄스,JU JU JU JUICY~ JUICY JUICY JUICY JUICY JUICY JUICY JUICY JUICY JUICY JUICY  너무 넓어 어디 가 그곳은 아프리카 핫해 핫해 열이 나 벌써 녹아내린 ICE 새콤달콤하게 녹아내린 맛 쥬시 프레시 상큼하겠지  설탕보다 더 달달 할 걸 놓치지 마 누구보다 더 여름에 어울리잖아 멀리 찾지 마 한입 맛보면 과즙이 팡팡 터져 윙크하게 될걸  여름을 적시는 소나기 증발시킨 아지랑이 뜨거운 열기 끝에 피어나고 있는 무지개 자 지금부터 시작할게 하고 싶은 말이 있어 혀끝에서 맴돌아 녹아 깨문다면 KNOCK OUT! Hot N Juicy  과감하게 톡톡 두드려 더더욱 더 부풀어 올라서 터지게 먼저 좋다 해도 난리야 난리야 너무 발칙해서 문제야 문제야 태양처럼 타  JUICY JUICY JUICY JUICY JUICY 팔딱 팔딱 팔딱 JUICY JUICY JUICY JUICY JUICY 너무 뜨거워서 Bully 야 Bully 야 긴 여름 같아 불이야 불이야 Hot N Juicy  트로피컬 비치 야자수 아래 에메랄드빛이 눈이 부시네 파라솔 그 아래 칵테일 한 잔에 걱정 따윈 넣어둬 이 순간을 즐겨  흘러내려 나의 매력에 빠질걸 달아올라 매일매일 HOT ZONE일걸 RESELL 붙기 전에 고민은 NO 해 (NO NO NO) 무한대로 펑 터져 흘러넘치는 걸  여름을 적시는 소나기 증발시킨 아지랑이 뜨거운 열기 끝에 피어나고 있는 무지개 자 지금부터 시작할게 하고 싶은 말이 있어 혀끝에서 맴돌아 녹아 깨문다면 KNOCK OUT! Hot N Juicy  과감하게 톡톡 두드려 더더욱 더 부풀어 올라서 터지게 먼저 좋다 해도 난리야 난리야 너무 발칙해서 문제야 문제야 태양처럼 타  JUICY JUICY JUICY JUICY JUICY 팔딱 팔딱 팔딱 JUICY JUICY JUICY JUICY JUICY 너무 뜨거워서 Bully 야 Bully 야 긴 여름 같아 불이야 불이야 Hot N Juicy  신나게 신나게 흔들어봐 더 혼자서 튀어 섞이지 않아도 라랄라라 라랄라라 라랄라라 라 JUICY JUICY (Shake it up like that juice)  JU JU JU JUICY~  놀라지 마 뛰어들래 그만큼 꽉 안아줄래 태양이 터질뻔하게 미친 듯이 흔들어봐 더  과감하게 톡톡 두드려 더더욱 더 부풀어 올라서 터지게 먼저 좋다 해도 난리야 난리야 (난리야) 너무 발칙해서 문제야 문제야 (문제야) 태양처럼 타  JUICY JUICY JUICY JUICY JUICY 팔딱 팔딱 팔딱 JUICY JUICY JUICY JUICY JUICY 너무 뜨거워서 Bully 야 Bully 야 긴 여름 같아 불이야 불이야 Hot N Juicy,"6,608",2020,Rocket Punch,JUICY,F# Major,2B,172,3:19,30,94,78.0,87,15.0,0.0,5.0,13.0,-1 dB,2020.0,0
