artist_song,like,bpm,energy,danceability,acousticness,camelot_sin,camelot_cos,camelot_AB,genre_기타,genre_댄스,genre_랩/힙합,genre_록/메탈,genre_발라드,genre_성인가요/트로트,genre_인디음악,genre_포크/블루스,target
백예린 (Yerin Baek) Big world,194023,130,29,33.0,89.0,-0.87,0.5,1,0,0,0,0,0,0,0,0,0
"이영지 HUG (Feat. Zion.T, 원슈타인) (Prod. by Slom)",48525,163,58,66.0,41.0,0.0,-1.0,1,0,0,1,0,0,0,0,0,0
Mingginyu (밍기뉴) 나의 모든 이들에게,20364,86,16,59.0,88.0,-0.87,0.5,1,0,0,0,0,0,0,1,0,0
성시경 아픈 나를 (Prod. By 나얼),114170,137,53,37.0,73.0,-0.5,-0.87,1,0,0,0,0,1,0,0,0,0
Seori Cinderella,24269,150,68,73.0,20.0,0.5,0.87,1,0,1,0,0,0,0,0,0,0
Stray Kids (스트레이 키즈) FAM (Korean Ver.),91217,105,81,91.0,9.0,0.87,0.5,1,0,0,1,0,0,0,0,0,0
하현상 겨울이 오면,45790,80,50,45.0,12.0,-0.87,-0.5,1,0,0,0,1,0,0,0,0,0
윤하 (YOUNHA) 비 오는 날 듣기 좋은 노래,121914,88,74,44.0,81.0,-0.87,-0.5,1,0,0,0,0,0,0,0,0,0
카더가든 상처는 아름다운 흔적이 되어,77294,82,54,48.0,49.0,-1.0,-0.0,0,0,0,0,1,0,0,0,0,0
로지(ROZY) 바다 가자,818,123,65,74.0,62.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0
전영호 ButterFly,800,165,96,50.0,0.0,-0.5,0.87,1,0,0,0,1,0,0,0,0,0
태리 (Terry) 좋아한단말야 (Feat. floryy),5316,145,62,71.0,32.0,0.87,0.5,1,0,0,1,0,0,0,0,0,0
김호중 빛이 나는 사람,46624,130,53,31.0,73.0,0.87,0.5,1,0,0,0,0,1,0,0,0,0
더보이즈 (THE BOYZ) Sweet,79424,145,91,75.0,4.0,-1.0,-0.0,0,0,1,0,0,0,0,0,0,0
Paul Blanco Summer (Feat. BE'O (비오)),27051,158,73,70.0,21.0,-0.87,-0.5,0,0,0,1,0,0,0,0,0,0
폴킴 One More Time,156337,77,48,56.0,78.0,0.5,-0.87,1,0,0,0,0,0,0,0,0,0
HAAN Chan (찬) Chance (Feat. Peakboy (픽보이)),2403,87,57,64.0,14.0,-1.0,-0.0,1,0,0,0,0,0,0,0,0,0
임재현 고백하는 취한밤에 (Prod. 2soo),15347,136,44,46.0,70.0,-0.5,0.87,1,0,0,0,0,1,0,0,0,0
WOODZ About You,53759,97,67,72.0,48.0,0.87,0.5,1,0,0,0,0,1,0,0,0,0
"BIG Naughty (서동현) 낭만교향곡 (Feat. CHANGMO, 박재범)",95395,88,67,45.0,18.0,-0.5,0.87,1,0,0,0,0,0,0,0,0,0
김재환 달팽이,47946,146,56,50.0,52.0,-1.0,-0.0,1,0,0,0,0,1,0,0,0,0
조유리 러브 쉿,27754,118,92,72.0,7.0,-0.87,0.5,1,0,1,0,0,0,0,0,0,0
루광중 검정치마 DREAM LIKE ME,201,79,56,56.0,37.0,0.5,0.87,1,0,0,0,1,0,0,0,0,0
오반(OVAN) 지금 난,39002,164,45,59.0,79.0,0.87,-0.5,1,0,0,1,0,0,0,0,0,0
신예영 헤어지기 싫어,10756,134,45,63.0,70.0,0.0,-1.0,1,0,0,0,0,1,0,0,0,0
백예린 (Yerin Baek) 물고기,194023,128,66,53.0,35.0,-1.0,-0.0,1,0,0,0,1,0,0,0,0,0
릴러말즈 (Leellamarz) TOIL 끝나지 않은 얘기 (Feat. 다이나믹 듀오),88760,80,56,71.0,39.0,0.0,-1.0,1,0,0,1,0,0,0,0,0,0
ASTRO (아스트로) Candy Sugar Pop,43829,115,93,80.0,18.0,-0.5,0.87,0,0,1,0,0,0,0,0,0,0
다비치 팡파레,112587,98,80,56.0,34.0,-0.5,-0.87,1,0,0,0,0,1,0,0,0,0
정승환 안녕이란 말,96009,65,34,41.0,91.0,0.87,0.5,1,0,0,0,0,1,0,0,0,0
황치열 왜 이제와서야 (Why),27902,136,54,46.0,54.0,-1.0,-0.0,1,0,0,0,0,1,0,0,0,0
